569,-268,46
566,-266,41
565,-257,47
570,-260,54
556,-261,51
560,-252,45
561,-253,55
564,-258,53
549,-261,55
548,-257,54
561,-243,62
559,-253,67
558,-245,73
558,-255,66
556,-241,81
556,-248,84
566,-241,84
561,-238,89
558,-240,87
552,-231,86
544,-236,89
542,-233,108
552,-233,93
539,-236,86
537,-248,79
538,-250,66
532,-256,41
525,-248,34
524,-260,9
516,-260,-11
527,-253,-39
510,-246,-53
499,-235,-71
497,-220,-78
497,-207,-99
481,-198,-103
488,-186,-119
483,-171,-127
480,-165,-130
465,-152,-133
474,-141,-129
463,-137,-123
453,-135,-123
452,-123,-131
442,-126,-119
437,-121,-127
438,-130,-133
427,-123,-131
431,-132,-125
425,-141,-127
414,-140,-123
416,-150,-121
414,-155,-123
425,-163,-131
426,-190,-125
447,-188,-127
457,-201,-134
496,-206,-131
519,-220,-121
532,-218,-117
577,-215,-111
583,-221,-93
609,-215,-87
626,-212,-73
650,-210,-61
650,-200,-47
669,-193,-24
672,-192,2
676,-191,20
669,-178,41
680,-182,52
659,-173,86
652,-186,98
643,-182,118
633,-182,121
622,-176,138
604,-180,140
598,-188,138
585,-190,152
572,-185,140
555,-182,142
537,-196,148
532,-196,150
522,-201,143
509,-192,149
502,-202,144
489,-192,142
485,-195,135
469,-193,131
465,-202,135
458,-205,130
455,-202,121
459,-218,117
452,-211,112
459,-211,105
453,-212,104
450,-225,87
446,-220,80
453,-232,68
441,-227,47
437,-231,43
430,-228,17
429,-230,7
421,-222,-7
420,-216,-17
415,-208,-17
416,-197,-26
409,-200,-33
408,-191,-55
404,-185,-59
407,-177,-59
404,-175,-68
404,-160,-66
393,-163,-67
391,-166,-72
396,-158,-70
400,-146,-74
390,-160,-71
388,-161,-70
396,-173,-72
399,-170,-68
393,-173,-70
393,-176,-70
408,-188,-70
396,-188,-74
399,-192,-80
410,-193,-84
418,-193,-89
425,-208,-105
444,-213,-105
463,-217,-116
496,-213,-122
528,-232,-121
543,-225,-116
574,-231,-112
594,-220,-92
621,-217,-92
641,-210,-85
648,-207,-64
665,-202,-49
670,-190,-40
681,-198,-29
686,-181,-20
693,-181,-20
694,-177,-4
702,-167,7
689,-170,28
699,-175,40
693,-171,58
678,-171,77
672,-172,92
665,-167,99
658,-182,114
652,-186,108
643,-192,125
632,-203,117
613,-206,122
605,-218,129
591,-226,119
591,-223,117
581,-238,110
564,-243,105
555,-245,104
536,-245,87
521,-257,85
505,-256,72
499,-267,71
476,-261,70
477,-247,52
460,-240,33
442,-226,29
427,-208,20
415,-208,22
399,-185,2
392,-170,-4
388,-153,5
358,-130,4
360,-107,11
354,-91,27
342,-73,39
346,-57,57
337,-58,62
325,-71,77
314,-67,80
314,-77,85
309,-87,92
301,-101,93
299,-100,83
313,-108,79
302,-125,68
310,-123,62
310,-141,51
308,-136,41
318,-141,36
315,-143,24
324,-142,14
337,-151,-10
341,-162,-21
357,-171,-41
371,-176,-70
386,-176,-89
407,-192,-97
438,-205,-111
464,-208,-110
481,-231,-112
516,-230,-106
538,-250,-95
566,-261,-86
581,-263,-70
595,-268,-46
597,-267,-42
600,-268,-34
604,-260,-28
609,-280,-21
603,-276,-15
602,-285,-19
589,-285,-9
585,-287,-2
575,-287,2
565,-287,-4
543,-280,-2
532,-293,-13
520,-278,-15
509,-277,-26
496,-271,-32
472,-262,-35
461,-258,-41
455,-235,-49
438,-232,-59
430,-226,-55
422,-213,-53
411,-197,-49
409,-182,-59
396,-158,-55
394,-155,-61
386,-126,-62
379,-111,-58
377,-97,-40
372,-80,-28
385,-57,-28
383,-48,-13
386,-36,-15
383,-26,1
394,-25,26
383,-18,36
386,-8,43
393,-6,77
398,-3,89
391,-8,110
397,-17,116
391,-26,131
391,-31,146
398,-38,146
398,-38,148
404,-42,147
400,-46,134
396,-41,150
394,-40,135
392,-32,144
393,-41,131
380,-27,133
382,-17,121
359,-23,91
355,-20,66
343,-32,49
335,-51,32
333,-62,-2
333,-87,-28
337,-103,-46
335,-123,-60
355,-155,-66
364,-163,-81
365,-177,-90
374,-188,-96
